Freq,mag (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (rads),Gain (V/V),Gain_dB,Phase
100,73.279604,4612.965314,12.17177,0.002639,-1.280796,4612.26601,73.27828694,73.38420522
112.2,72.297505,4119.791691,12.181128,0.002957,-1.275742,4119.421035,72.29672365,73.09463235
125.9,71.322453,3682.329605,12.187853,0.00331,-1.269899,3682.130816,71.32198427,72.75985311
141.3,70.364064,3297.639658,12.189867,0.003697,-1.255486,3297.23208,70.36299033,71.93404904
158.5,69.370263,2941.122784,12.188934,0.004144,-1.239307,2941.345077,69.37091957,71.00706062
177.8,68.393385,2628.265602,12.179815,0.004634,-1.219688,2628.358869,68.39369325,69.88297472
199.5,67.422216,2350.23245,12.171048,0.005179,-1.194439,2350.076849,67.42164128,68.43631359
223.9,66.468239,2105.774895,12.150419,0.00577,-1.164882,2105.791854,66.46830883,66.74282223
251.2,65.507496,1885.275394,12.124876,0.006431,-1.128644,1885.379568,65.50797592,64.66653777
281.8,64.586465,1695.59934,12.088595,0.007129,-1.089257,1695.692944,64.58694426,62.40982891
316.2,63.645232,1521.463635,12.046008,0.007917,-1.04184,1521.536946,63.64565005,59.69303493
354.8,62.772902,1376.084534,11.986795,0.008711,-0.991301,1376.052692,62.77270129,56.79736353
398.1,61.905374,1245.284786,11.915618,0.009569,-0.934414,1245.231268,61.90500034,53.53797852
446.7,61.054348,1129.060946,11.827525,0.010476,-0.868283,1129.01155,61.0539677,49.74895132
501.2,60.281962,1032.994757,11.719535,0.011345,-0.79827,1033.013222,60.2821176,45.73750191
562.3,59.53228,947.575893,11.586303,0.012227,-0.722855,947.5998201,59.53249939,41.4165407
631,58.841244,875.109089,11.425809,0.013056,-0.641756,875.138557,58.84153637,36.76991028
707.9,58.198567,812.696386,11.231493,0.01382,-0.556241,812.6984805,58.19858895,31.87026169
794.3,57.568021,755.78981,11.005064,0.014561,-0.465829,755.790399,57.56802741,26.69003567
891.3,57.024297,709.928911,10.736474,0.015123,-0.374405,709.9433975,57.02447449,21.45182633
1000,56.449978,664.50597,10.426258,0.01569,-0.278324,664.5161249,56.45011048,15.94679054
1122,56.017074,632.198857,10.075487,0.015937,-0.192269,632.2072536,56.01718949,11.01620223
1259,55.490177,594.988854,9.680223,0.01627,-0.086006,594.9737554,55.48995618,4.927780813
1413,55.052084,565.723469,9.240917,0.016335,0.010311,565.7127028,55.05191861,-0.590776783
1585,54.595166,536.733027,8.76875,0.016337,0.110304,536.7417519,54.59530759,-6.319953663
1778,54.116469,507.952893,8.270509,0.016282,0.206321,507.9541211,54.11648976,-11.82132252
1995,53.609925,479.177302,7.744094,0.016161,0.30199,479.1840851,53.61004771,-17.30275246
2239,53.095356,451.614421,7.208887,0.015962,0.395753,451.6280541,53.09561823,-22.67497663
2512,52.537886,423.539891,6.675358,0.015761,0.487215,423.5364507,52.53781586,-27.91536322
2818,51.961027,396.324912,6.14864,0.015514,0.573666,396.3284775,51.96110558,-32.86864065
3162,51.358044,369.744891,5.639041,0.015251,0.658781,369.7489345,51.35813862,-37.74537092
3548,50.651033,340.840859,5.135199,0.015066,0.736318,340.8468738,50.6511863,-42.18791378
3981,49.932115,313.765919,4.671808,0.014889,0.810744,313.7758076,49.93238912,-46.45220947
4467,49.179755,287.73172,4.23675,0.014725,0.88302,287.7249576,49.17955069,-50.59331923
5012,48.388275,262.671979,3.826849,0.014569,0.948976,262.6706706,48.38823166,-54.37231966
5623,47.556427,238.682936,3.452696,0.014466,1.010211,238.676621,47.55619762,-57.88082672
6310,46.639554,214.772018,3.084817,0.014363,1.063112,214.7752559,46.6396849,-60.91183075
7079,45.787325,194.700133,2.775801,0.014257,1.114826,194.6974118,45.78720357,-63.87482469
7943,44.948152,176.769602,2.509342,0.014196,1.160464,176.764018,44.9478773,-66.48968948
8913,44.044304,159.299796,2.250092,0.014125,1.201036,159.2985487,44.04423638,-68.81429384
10000,43.106963,143.003989,2.017436,0.014108,1.239207,142.9994329,43.10668631,-71.00133104
11220,42.17044,128.387282,1.804248,0.014053,1.273108,128.3888138,42.17054373,-72.94371526
12590,41.152939,114.194967,1.600567,0.014016,1.302678,114.1957049,41.15299539,-74.63795146
14130,40.204321,102.380215,1.430624,0.013974,1.330003,102.3775583,40.20409535,-76.20355864
15850,39.236827,91.58859,1.278394,0.013958,1.353714,91.58862301,39.23683059,-77.56209887
17780,38.273402,81.972859,1.142545,0.013938,1.375092,81.97338212,38.27345708,-78.78696804
19950,37.314897,73.408247,1.018174,0.01387,1.392412,73.40836337,37.31491083,-79.77933094
22390,36.349656,65.687509,0.909815,0.013851,1.410311,65.68587106,36.34943927,-80.8048681
25120,35.425625,59.058345,0.81366,0.013777,1.422401,59.05930173,35.42576616,-81.49757408
28180,34.43867,52.714913,0.725994,0.013772,1.435309,52.71521929,34.43872035,-82.237148
31620,33.427028,46.919287,0.653487,0.013928,1.444779,46.91894026,33.42696389,-82.77973903
35480,32.443257,41.895062,0.583796,0.013935,1.45471,41.89422318,32.44308284,-83.34874342
39810,31.400593,37.156061,0.518448,0.013953,1.461238,37.15674049,31.40075218,-83.72277026
44670,30.516871,33.561671,0.463152,0.0138,1.467258,33.56173913,30.51688915,-84.06769086
50120,29.535801,29.977129,0.417529,0.013928,1.474147,29.97767088,29.53595774,-84.46240148
56230,28.561841,26.797361,0.373115,0.013924,1.474118,26.79653835,28.56157389,-84.4607399
63100,27.533292,23.804803,0.331875,0.013942,1.478127,23.8039736,27.5329892,-84.69043868
70790,26.561903,21.286054,0.296579,0.013933,1.482713,21.2860834,26.56191519,-84.95319713
79430,25.509221,18.856498,0.263086,0.013952,1.48477,18.85650803,25.50922541,-85.07105455
89130,24.533069,16.852077,0.23522,0.013958,1.488401,16.85198453,24.53302103,-85.27909552
100000,23.635521,15.197637,0.211875,0.013941,1.491618,15.19797719,23.63571577,-85.46341605
