Freq,urfuer*, Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad),Phase*,Phase,Gain_dB
100,20.154546,10.179519,12.158736,1.194431,3.072444,176.038074,-3.96192601,0.154546
116.6,20.134582,10.15615,12.172376,1.198523,3.061476,175.4096539,-4.590346119,0.134582
135.9,20.10954,10.126911,12.176696,1.20241,3.049187,174.705546,-5.294453954,0.10954
158.5,20.078812,10.091149,12.176288,1.206631,3.035417,173.9165832,-6.083416838,0.078812
184.8,20.043162,10.049816,12.163585,1.210329,3.020175,173.0432809,-6.956719109,0.043162
215.4,20.003355,10.003863,12.145261,1.214057,3.003072,172.0633512,-7.936648826,0.003355
251.2,19.962013,9.956362,12.113356,1.216645,2.983769,170.9573707,-9.042629258,-0.037987
292.9,19.917951,9.905982,12.063588,1.217808,2.96151,169.682024,-10.31797601,-0.082049
341.5,19.870394,9.851894,11.997968,1.217834,2.935575,168.1960579,-11.80394206,-0.129606
398.1,19.815052,9.789322,11.90819,1.216447,2.905002,166.4443541,-13.55564592,-0.184948
464.2,19.744028,9.709602,11.787972,1.214053,2.868913,164.3766067,-15.62339331,-0.255972
541.2,19.647857,9.602689,11.62947,1.211064,2.826829,161.9653711,-18.03462889,-0.352143
631,19.514563,9.45645,11.423627,1.208025,2.778466,159.1943753,-20.80562468,-0.485437
735.6,19.332291,9.260076,11.161054,1.205287,2.723866,156.0660258,-23.93397424,-0.667709
857.7,19.091107,9.006485,10.834106,1.202923,2.663151,152.5873125,-27.41268749,-0.908893
1000,18.778619,8.688223,10.432989,1.20082,2.59702,148.7982853,-31.20171469,-1.221381
1166,18.385423,8.303691,9.957416,1.199155,2.526311,144.746958,-35.25304196,-1.614577
1359,17.899316,7.851738,9.405638,1.197905,2.452627,140.5251758,-39.47482418,-2.100684
1585,17.31221,7.338554,8.785065,1.197111,2.376812,136.1812963,-43.8187037,-2.68779
1848,16.629971,6.784198,8.114777,1.196129,2.300914,131.8326612,-48.16733878,-3.370029
2154,15.844095,6.197332,7.407447,1.195264,2.226848,127.588992,-52.41100798,-4.155905
2512,14.972371,5.605554,6.696123,1.194551,2.155317,123.4905676,-56.50943239,-5.027629
2929,14.015415,5.020775,5.995689,1.194176,2.088283,119.6498023,-60.35019767,-5.984585
3415,12.991667,4.462552,5.328552,1.194059,2.026281,116.0973494,-63.90265059,-7.008333
3981,11.887765,3.929961,4.693665,1.194329,1.969542,112.8464442,-67.15355583,-8.112235
4642,10.742768,3.444597,4.113448,1.194174,1.918584,109.9267658,-70.07323416,-9.257232
5412,9.568297,3.008949,3.592745,1.19402,1.873208,107.3269126,-72.67308745,-10.431703
6310,8.293633,2.598254,3.101291,1.193606,1.831258,104.9233546,-75.0766454,-11.706367
7356,7.126991,2.271693,2.713186,1.194346,1.795752,102.8890107,-77.11098935,-12.873009
8577,5.871411,1.965941,2.347896,1.194286,1.764862,101.119144,-78.88085598,-14.128589
10000,4.600592,1.698359,2.029007,1.194687,1.737486,99.55061476,-80.44938524,-15.399408
11660,3.321087,1.465731,1.749405,1.193537,1.713792,98.19304856,-81.80695144,-16.678913
13590,1.958936,1.252988,1.496121,1.194043,1.693148,97.01023449,-82.98976551,-18.041064
15850,0.64747,1.077391,1.285303,1.192977,1.67489,95.96412815,-84.03587185,-19.35253
18480,-0.649941,0.927904,1.104862,1.190707,1.658798,95.04212446,-84.95787554,-20.649941
21540,-1.941466,0.799699,0.948621,1.186222,1.644378,94.21591932,-85.78408068,-21.941466
25120,-3.193833,0.692322,0.817938,1.181441,1.631399,93.4722774,-86.5277226,-23.193833
29290,-4.500986,0.595595,0.70405,1.182097,1.619917,92.81440726,-87.18559274,-24.500986
34150,-5.849436,0.509951,0.609098,1.194425,1.609245,92.2029467,-87.7970533,-25.849436
39810,-7.209324,0.436047,0.521082,1.195013,1.599915,91.66837708,-88.33162292,-27.209324
46420,-8.517429,0.375084,0.448192,1.194911,1.591208,91.16950273,-88.83049727,-28.517429
54120,-9.744571,0.325665,0.389085,1.194739,1.58281,90.68833277,-89.31166723,-29.744571
63100,-11.086918,0.279032,0.333386,1.194794,1.576069,90.30210192,-89.69789808,-31.086918
73560,-12.390819,0.240137,0.286896,1.19472,1.570352,89.97454195,-90.02545805,-32.390819
85770,-13.754965,0.205235,0.24517,1.194581,1.566316,89.74329618,-90.25670382,-33.754965
100000,-15.046471,0.176879,0.211172,1.193877,1.564866,89.6602173,-90.3397827,-35.046471
,,,,,,0,,
