Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad)
100.000000,13.079909,4.508120,5.513481,1.223011,3.083006
116.600000,13.075129,4.505640,5.529178,1.227168,3.072713
135.900000,13.067437,4.501651,5.543042,1.231335,3.060797
158.500000,13.056368,4.495918,5.553622,1.235259,3.046905
184.800000,13.041908,4.488440,5.560879,1.238934,3.030883
215.400000,13.021895,4.478110,5.562154,1.242076,3.012417
251.200000,12.994503,4.464010,5.554451,1.244274,2.991012
292.900000,12.957850,4.445212,5.535513,1.245275,2.966401
341.500000,12.909290,4.420430,5.504811,1.245311,2.938080
398.100000,12.845110,4.387887,5.458570,1.244009,2.905656
464.200000,12.760362,4.345283,5.394423,1.241443,2.868509
541.200000,12.649463,4.290157,5.314823,1.238841,2.826341
631.000000,12.503469,4.218650,5.214202,1.235988,2.778711
735.600000,12.314021,4.127633,5.090758,1.233336,2.725501
857.700000,12.069865,4.013223,4.940150,1.230968,2.666556
1000.000000,11.761282,3.873148,4.761043,1.229244,2.602322
1166.000000,11.374439,3.704435,4.548619,1.227885,2.533346
1359.000000,10.901205,3.508005,4.302364,1.226442,2.460993
1585.000000,10.328947,3.284334,4.024604,1.225394,2.386074
1848.000000,9.662814,3.041870,3.724607,1.224446,2.310697
2154.000000,8.895464,2.784667,3.408239,1.223931,2.236537
2512.000000,8.037478,2.522748,3.085658,1.223134,2.164725
2929.000000,7.092184,2.262607,2.766672,1.222781,2.097034
3415.000000,6.073161,2.012139,2.459844,1.222502,2.034057
3981.000000,4.953535,1.768792,2.162175,1.222402,1.976755
4642.000000,3.804572,1.549632,1.894539,1.222574,1.924657
5412.000000,2.627786,1.353285,1.654213,1.222368,1.878272
6310.000000,1.424361,1.178197,1.439543,1.221819,1.837275
7356.000000,0.187807,1.021858,1.249226,1.222505,1.800992
8577.000000,-1.065186,0.884587,1.081330,1.222412,1.769146
10000.000000,-2.306683,0.766771,0.937422,1.222557,1.741399
11660.000000,-3.591713,0.661324,0.807593,1.221175,1.716946
13590.000000,-4.918588,0.567637,0.693394,1.221545,1.695602
15850.000000,-6.246050,0.487189,0.594596,1.220462,1.676676
18480.000000,-7.552105,0.419174,0.510616,1.218148,1.660198
21540.000000,-8.808226,0.362734,0.440533,1.214478,1.645663
25120.000000,-10.176656,0.309861,0.374176,1.207560,1.632746
29290.000000,-11.492719,0.266296,0.321896,1.208792,1.621169
34150.000000,-12.810525,0.228809,0.279516,1.221612,1.610782
39810.000000,-14.087659,0.197523,0.241421,1.222245,1.601203
46420.000000,-15.406093,0.169705,0.207383,1.222017,1.592433
54120.000000,-16.747527,0.145420,0.177693,1.221930,1.584651
63100.000000,-18.046752,0.125217,0.153025,1.222082,1.577594
73560.000000,-19.359802,0.107649,0.131558,1.222105,1.571954
85770.000000,-20.610996,0.093207,0.113883,1.221825,1.567664
100000.000000,-21.920041,0.080167,0.097937,1.221651,1.566511
