Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad)
100,13.051876,4.493594,5.591554,1.244339,-0.120525
116.6,13.039674,4.487285,5.604022,1.248867,-0.141046
135.9,13.02413,4.479262,5.612916,1.253089,-0.164792
158.5,13.00132,4.467515,5.617135,1.257329,-0.192496
184.8,12.970916,4.451904,5.615539,1.261379,-0.224561
215.4,12.93053,4.431253,5.603376,1.264513,-0.261567
251.2,12.87494,4.402983,5.577991,1.266866,-0.30448
292.9,12.800858,4.365589,5.535792,1.268051,-0.354015
341.5,12.702768,4.316566,5.473004,1.267907,-0.410984
398.1,12.573668,4.252883,5.385666,1.266357,-0.476338
464.2,12.401351,4.169342,5.270657,1.264146,-0.551149
541.2,12.174388,4.061808,5.1224,1.261113,-0.63615
631,11.877041,3.925112,4.938514,1.258184,-0.732077
735.6,11.487832,3.753113,4.711421,1.255337,-0.839235
857.7,10.987462,3.543016,4.439873,1.253134,-0.957908
1000,10.352345,3.293193,4.119758,1.250992,-1.087072
1166,9.559956,3.006061,3.754602,1.24901,-1.225515
1359,8.592426,2.689189,3.355622,1.247819,-1.370639
1585,7.430101,2.352367,2.932708,1.246705,-1.520589
1848,6.047171,2.006128,2.499076,1.245721,-1.671337
2154,4.496999,1.678224,2.089203,1.244889,-1.819508
2512,2.754987,1.373249,1.709126,1.244585,-1.962867
2929,0.866132,1.104858,1.374396,1.243956,-2.097806
3415,-1.189622,0.872005,1.084263,1.243414,-2.223271
3981,-3.392437,0.676672,0.841556,1.243669,-2.337535
4642,-5.686734,0.519593,0.646066,1.243408,-2.441129
5412,-8.009366,0.397678,0.494422,1.243272,-2.533242
6310,-10.485866,0.299024,0.371657,1.242897,-2.615034
7356,-12.981542,0.224348,0.278997,1.24359,-2.686928
8577,-15.500652,0.167868,0.208739,1.243472,-2.750012
10000,-18.084886,0.124668,0.155039,1.243613,-2.805086
11660,-20.565323,0.093699,0.116422,1.242509,-2.853345
13590,-23.252625,0.068765,0.085481,1.24309,-2.895343
15850,-25.89658,0.050719,0.063,1.242147,-2.93239
18480,-28.401382,0.038013,0.047134,1.23996,-2.965039
21540,-31.028027,0.028093,0.03473,1.236266,-2.993797
25120,-33.825166,0.020358,0.025028,1.229396,-3.019082
29290,-36.49268,0.014975,0.018431,1.23079,-3.0423
34150,-39.17457,0.010997,0.01368,1.24395,-3.063154
39810,-41.858787,0.008073,0.010048,1.244598,-3.081796
46420,-44.539168,0.00593,0.007379,1.244466,-3.100329
54120,-47.170623,0.00438,0.005451,1.24444,-3.113881
63100,-49.904784,0.003197,0.003978,1.244353,-3.129717
73560,-52.597801,0.002345,0.002918,1.244328,-3.142139
85770,-55.286937,0.00172,0.002141,1.24447,-3.151003
100000,-57.942598,0.001267,0.001576,1.243921,-3.155179
