Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad)
100.000000,-31.002117,0.028177,0.034107,1.210465,0.209107
116.600000,-30.924973,0.028428,0.034529,1.214608,0.242022
135.900000,-30.828184,0.028747,0.035035,1.218735,0.279324
158.500000,-30.693969,0.029195,0.035700,1.222830,0.321677
184.800000,-30.528034,0.029758,0.036493,1.226353,0.370315
215.400000,-30.299400,0.030551,0.037569,1.229711,0.422518
251.200000,-30.010084,0.031586,0.038915,1.232027,0.480976
292.900000,-29.652624,0.032913,0.040586,1.233136,0.544183
341.500000,-29.204769,0.034655,0.042727,1.232931,0.611053
398.100000,-28.659865,0.036898,0.045440,1.231490,0.680464
464.200000,-28.003718,0.039794,0.048927,1.229529,0.750446
541.200000,-27.244380,0.043429,0.053274,1.226687,0.818963
631.000000,-26.369763,0.048030,0.058790,1.224031,0.884359
735.600000,-25.388564,0.053774,0.065680,1.221407,0.944695
857.700000,-24.301059,0.060946,0.074304,1.219164,0.998385
1000.000000,-23.110999,0.069896,0.085093,1.217427,1.044016
1166.000000,-21.822301,0.081075,0.098580,1.215913,1.080433
1359.000000,-20.436669,0.095097,0.115526,1.214828,1.106393
1585.000000,-18.941034,0.112966,0.137147,1.214054,1.120234
1848.000000,-17.144992,0.138915,0.168567,1.213448,1.119223
2154.000000,-15.243781,0.172906,0.209813,1.213449,1.098120
2512.000000,-12.998611,0.223908,0.271897,1.214325,1.045497
2929.000000,-10.403592,0.301870,0.367258,1.216609,0.935141
3415.000000,-7.161043,0.438478,0.536068,1.222565,0.697117
3981.000000,-4.110031,0.623015,0.768813,1.234020,0.171157
4642.000000,-4.657589,0.584952,0.719027,1.229205,-0.549576
5412.000000,-7.856824,0.404724,0.492693,1.217356,-0.987986
6310.000000,-10.976608,0.282598,0.342524,1.212051,-1.196868
7356.000000,-13.560877,0.209873,0.254117,1.210816,-1.306903
8577.000000,-15.793740,0.162298,0.196330,1.209688,-1.372668
10000.000000,-17.763868,0.129362,0.156469,1.209546,-1.415215
11660.000000,-19.427207,0.106817,0.129025,1.207911,-1.444974
13590.000000,-21.157856,0.087520,0.105735,1.208121,-1.466393
15850.000000,-22.711449,0.073186,0.088341,1.207082,-1.482725
18480.000000,-24.159499,0.061948,0.074618,1.204525,-1.495669
21540.000000,-25.670844,0.052054,0.062514,1.200930,-1.505409
25120.000000,-26.968463,0.044831,0.053526,1.193956,-1.513702
29290.000000,-28.357085,0.038207,0.045663,1.195150,-1.520307
34150.000000,-29.727375,0.032631,0.039418,1.207978,-1.525566
39810.000000,-31.226621,0.027458,0.033165,1.207844,-1.528936
46420.000000,-32.591659,0.023465,0.028349,1.208149,-1.532160
54120.000000,-33.930043,0.020114,0.024305,1.208387,-1.535200
63100.000000,-35.292194,0.017195,0.020770,1.207928,-1.536839
73560.000000,-36.645874,0.014713,0.017773,1.207961,-1.537684
85770.000000,-38.005547,0.012581,0.015201,1.208241,-1.538071
100000.000000,-39.374987,0.010746,0.012980,1.207918,-1.538240
